Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
114,Exit long,2013-02-01 17:30,Normal,0.53,21607,11019.57,432.14,3.92,0,432.14,3.92,-216.07,-1.96,1452.11,14.52,15
114,Entry long,2013-01-30 15:30,Normal,0.51,21607,11019.57,432.14,3.92,0,432.14,3.92,-216.07,-1.96,1452.11,14.52,15
115,Exit long,2013-02-08 15:30,Normal,0.55,22023,11451.96,660.69,5.77,0,660.69,5.77,-220.23,-1.92,2112.8,21.13,20
115,Entry long,2013-02-05 16:30,Normal,0.52,22023,11451.96,660.69,5.77,0,660.69,5.77,-220.23,-1.92,2112.8,21.13,20
116,Exit long,2013-02-20 15:30,Normal,0.59,21629,12112.24,648.87,5.36,0,648.87,5.36,0,0.00,2761.67,27.62,19
116,Entry long,2013-02-14 16:30,Normal,0.56,21629,12112.24,648.87,5.36,0,648.87,5.36,0,0.00,2761.67,27.62,19
117,Exit long,2013-02-22 15:30,Normal,0.54,24541,12761.32,490.82,3.85,0,490.82,3.85,0,0.00,3252.49,32.52,1
117,Entry long,2013-02-21 21:30,Normal,0.52,24541,12761.32,490.82,3.85,0,490.82,3.85,0,0.00,3252.49,32.52,1
118,Exit long,2013-02-27 16:30,Normal,0.55,25485,13252.2,764.55,5.77,0,764.55,5.77,-254.85,-1.92,4017.04,40.17,7
118,Entry long,2013-02-26 16:30,Normal,0.52,25485,13252.2,764.55,5.77,0,764.55,5.77,-254.85,-1.92,4017.04,40.17,7
119,Exit long,2013-03-13 17:30,Normal,0.61,23757,14016.63,475.14,3.39,0,475.14,3.39,-475.14,-3.39,4492.18,44.92,18
119,Entry long,2013-03-08 21:30,Normal,0.59,23757,14016.63,475.14,3.39,0,475.14,3.39,-475.14,-3.39,4492.18,44.92,18
120,Exit long,2013-03-20 14:30,Normal,0.57,26349,14491.95,526.98,3.64,0,526.98,3.64,0,0.00,5019.16,50.19,3
120,Entry long,2013-03-19 18:30,Normal,0.55,26349,14491.95,526.98,3.64,0,526.98,3.64,0,0.00,5019.16,50.19,3
121,Exit long,2013-04-04 21:30,Normal,0.53,29449,15018.99,588.98,3.92,0,588.98,3.92,0,0.00,5608.14,56.08,5
121,Entry long,2013-04-04 15:30,Normal,0.51,29449,15018.99,588.98,3.92,0,588.98,3.92,0,0.00,5608.14,56.08,5
122,Exit long,2013-04-16 21:30,Normal,0.57,28903,15607.62,867.09,5.56,0,867.09,5.56,0,0.00,6475.23,64.75,6
122,Entry long,2013-04-16 15:30,Normal,0.54,28903,15607.62,867.09,5.56,0,867.09,5.56,0,0.00,6475.23,64.75,6
123,Exit long,2013-04-18 15:30,Normal,0.54,31683,16475.16,633.66,3.85,0,633.66,3.85,-316.83,-1.92,7108.89,71.09,3
123,Entry long,2013-04-17 19:30,Normal,0.52,31683,16475.16,633.66,3.85,0,633.66,3.85,-316.83,-1.92,7108.89,71.09,3
124,Exit long,2013-04-22 17:30,Normal,0.52,34217,17108.5,684.34,4.00,0,684.34,4.00,-342.17,-2.00,7793.23,77.93,9
124,Entry long,2013-04-19 15:30,Normal,0.5,34217,17108.5,684.34,4.00,0,684.34,4.00,-342.17,-2.00,7793.23,77.93,9
125,Exit long,2013-05-03 15:30,Normal,0.64,29655,17793,1186.2,6.67,0,1186.2,6.67,0,0.00,8979.43,89.79,19
125,Entry long,2013-04-30 16:30,Normal,0.6,29655,17793,1186.2,6.67,0,1186.2,6.67,0,0.00,8979.43,89.79,19
126,Exit long,2013-05-23 15:30,Normal,0.66,26360,18979.2,-1581.6,-8.33,0,527.2,2.78,-1581.6,-8.33,7397.83,73.98,29
126,Entry long,2013-05-16 19:30,Normal,0.72,26360,18979.2,-1581.6,-8.33,0,527.2,2.78,-1581.6,-8.33,7397.83,73.98,29
127,Exit long,2013-06-07 17:30,Normal,0.73,24854,17397.8,745.62,4.29,0,745.62,4.29,-248.54,-1.43,8143.45,81.43,5
127,Entry long,2013-06-06 19:30,Normal,0.7,24854,17397.8,745.62,4.29,0,745.62,4.29,-248.54,-1.43,8143.45,81.43,5
128,Exit long,2013-06-13 19:30,Normal,0.71,26681,18143.08,800.43,4.41,0,800.43,4.41,0,0.00,8943.88,89.44,4
128,Entry long,2013-06-13 15:30,Normal,0.68,26681,18143.08,800.43,4.41,0,800.43,4.41,0,0.00,8943.88,89.44,4
129,Exit long,2013-06-24 17:30,Normal,0.62,27858,18943.44,-1671.48,-8.82,0,0,0.00,-1671.48,-8.82,7272.4,72.72,6
129,Entry long,2013-06-21 18:30,Normal,0.68,27858,18943.44,-1671.48,-8.82,0,0,0.00,-1671.48,-8.82,7272.4,72.72,6
130,Exit long,2013-07-11 15:30,Normal,0.78,23660,17271.8,1183,6.85,0,1183,6.85,-709.8,-4.11,8455.4,84.55,37
130,Entry long,2013-07-02 15:30,Normal,0.73,23660,17271.8,1183,6.85,0,1183,6.85,-709.8,-4.11,8455.4,84.55,37
131,Exit long,2013-07-24 15:30,Normal,0.75,22506,18454.92,-1575.42,-8.54,0,225.06,1.22,-1575.42,-8.54,6879.98,68.80,41
131,Entry long,2013-07-16 15:30,Normal,0.82,22506,18454.92,-1575.42,-8.54,0,225.06,1.22,-1575.42,-8.54,6879.98,68.80,41
132,Exit long,2013-08-15 15:30,Normal,0.68,22810,16879.4,-1368.6,-8.11,0,456.2,2.70,-1368.6,-8.11,5511.38,55.11,32
132,Entry long,2013-08-07 21:30,Normal,0.74,22810,16879.4,-1368.6,-8.11,0,456.2,2.70,-1368.6,-8.11,5511.38,55.11,32
133,Exit long,2013-08-27 15:30,Normal,0.64,22480,15511.2,-1124,-7.25,0,224.8,1.45,-1124,-7.25,4387.38,43.87,45
133,Entry long,2013-08-16 15:30,Normal,0.69,22480,15511.2,-1124,-7.25,0,224.8,1.45,-1124,-7.25,4387.38,43.87,45
134,Exit long,2013-09-03 15:30,Normal,0.7,21799,14387.34,871.96,6.06,0,871.96,6.06,-217.99,-1.52,5259.34,52.59,17
134,Entry long,2013-08-28 16:30,Normal,0.66,21799,14387.34,871.96,6.06,0,871.96,6.06,-217.99,-1.52,5259.34,52.59,17
135,Exit long,2013-09-18 20:30,Normal,0.85,18608,15258.56,558.24,3.66,0,558.24,3.66,-186.08,-1.22,5817.58,58.18,15
135,Entry long,2013-09-16 15:30,Normal,0.82,18608,15258.56,558.24,3.66,0,558.24,3.66,-186.08,-1.22,5817.58,58.18,15
